"","2008.07","2008.08","2010.04","2010.05","2010.06","2010.07","2011.06","2011.07","2011.08","2012.06","2014.08","2015.07","2017.07","2017.08"
"Mackenzie.Ath/NSask",,,,,,,,,21,,,,,16
"Moon.Ath/NSask",4,1,,,,,,,,,1,1,2,2
"Thistle.Ath/NSask",,,,,,,,,,,,,,8
"Cutoff.Clearwater",,,,,,,4,,,,,,,3
"Elk.Clearwater",,,16,1,,17,,,5,,,,,2
"Limestone.Clearwater",,,,,,,,2,3,,,,,1
"Rocky.Clearwater",,,,,12,,,,,5,,,,1
"Fall.Ram",9,,,,,,,,,,,,2,
