"Watershed","Species","AgeClass","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","BACI.eff","n.years.b","n.years.a","n.streams.t","n.streams.c","n.sites.per.year","alpha","sdSite","sdYear","sdSiteYear","sdResid","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","power","Tcrit","os.power1","os.power2"
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,0.693147180559945,2,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,11.313844989071,10.1279644860139,0.620438644694878,2.35336343480182,0.812437370696583,3.16517276222061e-06
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,0.693147180559945,2,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.99522656671271,6.60789097370336,0.129575863533154,2.01504837333302,0.218156614743274,0.00579591152032388
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,0.693147180559945,2,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,11.1764866222521,10.1279644860139,0.615660006075077,2.35336343480182,0.808522790474322,3.44992202017114e-06
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,0.693147180559945,2,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.531341128363682,10.1279644860139,0.0825415869490439,2.35336343480182,0.143155593923159,0.0125300004503826
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,0.693147180559945,2,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.645206219883728,6.60789097370336,0.10124173816326,2.01504837333302,0.172022692311661,0.00933687100685288
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,0.693147180559945,2,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,2.03898492067833,10.1279644860139,0.174440095586528,2.35336343480182,0.298860138871614,0.00235178210083731
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,0.693147180559945,2,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.982136283422458,10.1279644860139,0.110180889020113,2.35336343480182,0.194220039161239,0.00697367156491457
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,0.693147180559945,2,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,2,1,0.693147180559945,0,0,0,0.693147180559945,5,0.482575083021709,6.60789097370336,0.088178425514754,2.01504837333302,0.149138436069245,0.012037998705467
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,0.693147180559945,2,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.837689245163418,10.1279644860139,0.101329601111767,2.35336343480182,0.178488888808605,0.00830244244662404
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,0.693147180559945,2,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,0.525395151970488,10.1279644860139,0.0821768910000332,2.35336343480182,0.142434171767261,0.0126402714670764
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,0.693147180559945,2,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,2,1,0.693147180559945,0,0,0,0.693147180559945,3,1.02061322037899,10.1279644860139,0.112537136295294,2.35336343480182,0.198333654636493,0.00666744099956473
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,1.09861228866811,2,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,28.4215793361196,10.1279644860139,0.928199400970294,2.35336343480182,0.987326301538645,1.44735778917493e-10
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,1.09861228866811,2,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,2,1,1.09861228866811,0,0,0,1.09861228866811,5,2.50011475767636,6.60789097370336,0.25176775754918,2.01504837333302,0.390616108428987,0.00116478498638839
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,1.09861228866811,2,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,28.0765205410067,10.1279644860139,0.925642391826142,2.35336343480182,0.986597232351283,1.75508274580238e-10
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,1.09861228866811,2,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,1.33478530498867,10.1279644860139,0.131742292836716,2.35336343480182,0.230915588256697,0.00471046654019625
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,1.09861228866811,2,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,2,1,1.09861228866811,0,0,0,1.09861228866811,5,1.62082649924028,6.60789097370336,0.180560750343373,2.01504837333302,0.294087989119676,0.00280753635202446
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,1.09861228866811,2,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,5.12214651554715,10.1279644860139,0.34995893438123,2.35336343480182,0.538125718133458,0.000196648573922542
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,1.09861228866811,2,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,2.4672305767966,10.1279644860139,0.200064849351849,2.35336343480182,0.337396903304027,0.00159856827042226
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,1.09861228866811,2,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,2,1,1.09861228866811,0,0,0,1.09861228866811,5,1.21227982361301,6.60789097370336,0.147242719049315,2.01504837333302,0.245297064718904,0.00444521070671278
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,1.09861228866811,2,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,2.10436428671462,10.1279644860139,0.178371326322493,2.35336343480182,0.30486950352888,0.00221400609106204
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,1.09861228866811,2,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,1.31984838125027,10.1279644860139,0.130830855248286,2.35336343480182,0.229403129537169,0.00478572995210957
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,1.09861228866811,2,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,2,1,1.09861228866811,0,0,0,1.09861228866811,3,2.56388872593841,10.1279644860139,0.205804773290109,2.35336343480182,0.345833372092999,0.00146921719517501
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,0.693147180559945,3,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,12.7280756127049,6.60789097370336,0.811315598408113,2.01504837333302,0.918409846711116,6.32048280047037e-07
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,0.693147180559945,3,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,3,1,0.693147180559945,0,0,0,0.693147180559945,8,1.1196298875518,5.31765507157871,0.154686384774042,1.8595480375309,0.249770176533237,0.004389081428258
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,0.693147180559945,3,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,12.5735474500336,6.60789097370336,0.806791399599121,2.01504837333302,0.915654570616135,6.98615406857783e-07
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,0.693147180559945,3,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,0.597758769409142,6.60789097370336,0.0974225013420563,2.01504837333302,0.165468711118695,0.0100270651759181
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,0.693147180559945,3,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,3,1,0.693147180559945,0,0,0,0.693147180559945,8,0.725856997369194,5.31765507157871,0.117203270913705,1.8595480375309,0.193890684793204,0.00754933157969795
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,0.693147180559945,3,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,2.29385803576312,6.60789097370336,0.235187610939691,2.01504837333302,0.368942446145291,0.00141776805547544
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,0.693147180559945,3,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,1.10490331885027,6.60789097370336,0.138496750888827,2.01504837333302,0.231988647111669,0.00505729359311125
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,0.693147180559945,3,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,3,1,0.693147180559945,0,0,0,0.693147180559945,8,0.542896968399422,5.31765507157871,0.0999721719645417,1.8595480375309,0.166270550109622,0.0100721296370384
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,0.693147180559945,3,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,0.942400400808846,6.60789097370336,0.125284855552947,2.01504837333302,0.211401056209969,0.00620080113086074
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,0.693147180559945,3,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,0.591069545966799,6.60789097370336,0.0968845653013353,2.01504837333302,0.164537333677561,0.010130102450525
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,0.693147180559945,3,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,3,1,0.693147180559945,0,0,0,0.693147180559945,5,1.14818987292637,6.60789097370336,0.142021282841661,2.01504837333302,0.237380302643298,0.00479863669134906
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,1.09861228866811,3,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,31.9742767531345,6.60789097370336,0.992829144728049,2.01504837333302,0.999046374497358,6.12676576139393e-12
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,1.09861228866811,3,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,3,1,1.09861228866811,0,0,0,1.09861228866811,8,2.8126291023859,5.31765507157871,0.315393156282483,1.8595480375309,0.455872616580816,0.000701315519175294
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,1.09861228866811,3,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,31.5860856086324,6.60789097370336,0.992307776241972,2.01504837333302,0.998952513217819,7.6261219561502e-12
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,1.09861228866811,3,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,1.50163346811225,6.60789097370336,0.170840320210839,2.01504837333302,0.280135498614341,0.00319622883498516
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,1.09861228866811,3,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,3,1,1.09861228866811,0,0,0,1.09861228866811,8,1.82342981164531,5.31765507157871,0.222140862923965,1.8595480375309,0.341450820289712,0.00191951704163673
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,1.09861228866811,3,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,5.76241482999054,6.60789097370336,0.491521323774108,2.01504837333302,0.661973177183615,7.77708914631026e-05
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,1.09861228866811,3,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,2.77563439889617,6.60789097370336,0.27374391064625,2.01504837333302,0.418675981542792,0.000902290120119553
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,1.09861228866811,3,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,3,1,1.09861228866811,0,0,0,1.09861228866811,8,1.36381480156464,5.31765507157871,0.178082902696495,1.8595480375309,0.28263318527686,0.00324367190048791
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,1.09861228866811,3,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,2.36740982255395,6.60789097370336,0.241111469770774,2.01504837333302,0.376737605878758,0.00132104067261818
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,1.09861228866811,3,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,1.48482942890655,6.60789097370336,0.169469612064672,2.01504837333302,0.278150449738237,0.00325605380713601
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,1.09861228866811,3,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,3,1,1.09861228866811,0,0,0,1.09861228866811,5,2.88437481668072,6.60789097370336,0.282355597934732,2.01504837333302,0.429473391640884,0.000817433183870842
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,0.693147180559945,4,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,13.5766139868852,5.59144785122073,0.882822153169707,1.89457860509001,0.951050550982402,2.35339061238626e-07
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,0.693147180559945,4,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,4,1,0.693147180559945,0,0,0,0.693147180559945,11,1.19427188005525,4.84433567494361,0.169958597188419,1.79588481870404,0.268007057200569,0.00374358169186684
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,0.693147180559945,4,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,13.4117839467025,5.59144785122073,0.879091845675963,1.89457860509001,0.949007925955029,2.62457470645572e-07
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,0.693147180559945,4,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,0.637609354036419,5.59144785122073,0.106789195158726,1.89457860509001,0.178339181279072,0.00883492904211847
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,0.693147180559945,4,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,4,1,0.693147180559945,0,0,0,0.693147180559945,11,0.774247463860472,4.84433567494361,0.126930944249073,1.79588481870404,0.206544269468845,0.00668964432653418
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,0.693147180559945,4,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,2.446781904814,5.59144785122073,0.272846812556313,1.89457860509001,0.408081645513042,0.00105490416657716
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,0.693147180559945,4,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,1.17856354010695,5.59144785122073,0.156332501965231,1.89457860509001,0.253730421753714,0.00420481541159079
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,0.693147180559945,4,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,4,1,0.693147180559945,0,0,0,0.693147180559945,11,0.57909009962605,4.84433567494361,0.107158872580712,1.79588481870404,0.176176329409774,0.00910371394528775
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,0.693147180559945,4,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,1.0052270941961,5.59144785122073,0.140379725672042,1.89457860509001,0.230381271158086,0.00524629786657871
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,0.693147180559945,4,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,0.630474182364585,5.59144785122073,0.106141757400585,1.89457860509001,0.177285909954964,0.00893333894422388
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,0.693147180559945,4,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,4,1,0.693147180559945,0,0,0,0.693147180559945,7,1.22473586445479,5.59144785122073,0.160589397374492,1.89457860509001,0.259843957005257,0.00397179584884777
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,1.09861228866811,4,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,34.1058952033435,5.59144785122073,0.998512237071409,1.89457860509001,0.999803516639651,9.65449942214036e-13
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,1.09861228866811,4,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,4,1,1.09861228866811,0,0,0,1.09861228866811,11,3.00013770921163,4.84433567494361,0.352837546548064,1.79588481870404,0.491899320567709,0.000522364419659471
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,1.09861228866811,4,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,33.691824649208,5.59144785122073,0.998365177126884,1.89457860509001,0.999779128761688,1.17550413847312e-12
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,1.09861228866811,4,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,1.6017423659864,5.59144785122073,0.19539423293166,1.89457860509001,0.30826137395946,0.0025540797096758
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,1.09861228866811,4,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,4,1,1.09861228866811,0,0,0,1.09861228866811,11,1.94499179908833,4.84433567494361,0.247183396681119,1.79588481870404,0.368388868131653,0.00154174139780883
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,1.09861228866811,4,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,6.14657581865657,5.59144785122073,0.569323048220432,1.89457860509001,0.720987404830068,4.4614312817326e-05
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,1.09861228866811,4,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,2.96067669215592,5.59144785122073,0.31890007393019,1.89457860509001,0.463280855963287,0.00064497546291431
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,1.09861228866811,4,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,4,1,1.09861228866811,0,0,0,1.09861228866811,11,1.45473578833561,4.84433567494361,0.196790962444758,1.79588481870404,0.304086247238519,0.00270713942990131
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,1.09861228866811,4,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,2.52523714405754,5.59144785122073,0.27994407603582,1.89457860509001,0.416772809322327,0.000976806821568199
"Ath/NSask","RNTR","Immature",0.694370673044843,0.559443654460811,0,1.42552938370535,1.09861228866811,4,1,1,2,5,0.05,0.559443654460811,0.694370673044843,0,1.42552938370535,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,1.58381805750032,5.59144785122073,0.193739464870749,1.89457860509001,0.306016900531789,0.00260608633967019
"Ath/NSask","RNTR","Mature",0.297926717858706,0.709370350062404,0,1.02279503078157,1.09861228866811,4,1,1,2,5,0.05,0.709370350062404,0.297926717858706,0,1.02279503078157,5,5,5,5,1,2,4,1,1.09861228866811,0,0,0,1.09861228866811,7,3.0766664711261,5.59144785122073,0.329136260230464,1.89457860509001,0.475180063630914,0.000579202954445468
"Ath/NSask","BKTR","AllAges",0,0,0.0373436355465937,0.295628162459183,0.693147180559945,5,1,1,2,5,0.05,0,0,0.0373436355465937,0.295628162459183,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,14.1423062363388,5.11735502919922,0.915817120135538,1.83311293265624,0.965147415878838,1.20928422830957e-07
"Clearwater","BKTR","AllAges",0,0.982347495162949,0,1.09858707469746,0.693147180559945,5,1,1,3,5,0.05,0.982347495162949,0,0,1.09858707469746,5,5,5,5,1,3,5,1,0.693147180559945,0,0,0,0.693147180559945,14,1.24403320839089,4.60010993666942,0.180166356104931,1.76131013577489,0.279877496513854,0.00337653914511105
"Ram","BKTR","AllAges",0.427036766381758,0.491173747581474,0.0186718177732969,0.306243936253185,0.693147180559945,5,1,1,2,5,0.05,0.491173747581474,0.427036766381758,0.0186718177732969,0.306243936253185,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,13.9706082778152,5.11735502919922,0.912678371158237,1.83311293265624,0.96350896280123,1.35698180803168e-07
"Ath/NSask","BLTR","Immature",0,0.980973164479164,0,1.41753074557219,0.693147180559945,5,1,1,2,5,0.05,0.980973164479164,0,0,1.41753074557219,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,0.664176410454603,5.11735502919922,0.113125887443772,1.83311293265624,0.186691553051045,0.00814324858502835
"Clearwater","BLTR","Immature",0.43122819347973,0.505416564723893,0.139227976784729,1.32842148288466,0.693147180559945,5,1,1,3,5,0.05,0.505416564723893,0.43122819347973,0.139227976784729,1.32842148288466,5,5,5,5,1,3,5,1,0.693147180559945,0,0,0,0.693147180559945,14,0.80650777485466,4.60010993666942,0.133446937566462,1.76131013577489,0.214803044439599,0.00618657206741968
"Ram","BLTR","Immature",7.59984634062858e-09,0.743194864601529,0.0696139883923644,0.706681902404236,0.693147180559945,5,1,1,2,5,0.05,0.743194864601529,7.59984634062858e-09,0.0696139883923644,0.706681902404236,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,2.54873115084792,5.11735502919922,0.297865440390397,1.83311293265624,0.432837241132262,0.000869363005489898
"Ath/NSask","BLTR","Mature",1.516957941104e-08,0,1.96954481085549e-08,1.04263746500193,0.693147180559945,5,1,1,2,5,0.05,0,1.516957941104e-08,1.96954481085549e-08,1.04263746500193,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,1.22767035427807,5.11735502919922,0.168374952726543,1.83311293265624,0.267794105565684,0.0037306085536164
"Clearwater","BLTR","Mature",0,0.286761302241446,0.504983463699131,1.10180081728529,0.693147180559945,5,1,1,3,5,0.05,0.286761302241446,0,0.504983463699131,1.10180081728529,5,5,5,5,1,3,5,1,0.693147180559945,0,0,0,0.693147180559945,14,0.603218853777136,4.60010993666942,0.111974240671059,1.76131013577489,0.182641603826276,0.00852867737536034
"Ram","BLTR","Mature",0,0.143380651120723,0.252491741697289,0.977642811915819,0.693147180559945,5,1,1,2,5,0.05,0.143380651120723,0,0.252491741697289,0.977642811915819,5,5,5,5,1,2,5,1,0.693147180559945,0,0,0,0.693147180559945,9,1.04711155645427,5.11735502919922,0.150582193560313,1.83311293265624,0.24267967637624,0.00470847840994582
